agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AL04301,23.0,murder,False,3,False
AL04302,27.0,murder,False,4,False
AL04303,2.0,murder,False,7,False
AL04400,19.0,murder,False,9B,False
AL04401,13.0,murder,False,4,False
AL04402,0.0,murder,False,7,False
AL04403,0.0,murder,False,7,False
AL04500,19.0,murder,False,9D,False
AL04501,0.0,murder,False,7,False
AL04502,0.0,murder,False,7,False
AL04504,1.0,murder,False,7,False
AL04505,0.0,murder,False,7,False
AL04507,0.0,murder,False,7,False
AL04600,13.0,murder,False,8D,False
AL04601,20.0,murder,False,6,False
AL04602,1.0,murder,False,7,False
AL04606,0.0,murder,False,7,False
AL04607,0.0,murder,False,7,False
AL04700,26.0,murder,False,9A,False
AL04701,30.0,murder,False,2,True
AL04702,9.0,murder,False,4,False
AL04703,0.0,murder,False,7,False
AL04704,1.0,murder,False,6,False
AL04705,2.0,murder,False,7,False
AL04706,0.0,murder,False,7,False
AL04707,0.0,murder,False,7,False
AL04708,0.0,murder,False,7,False
AL04709,0.0,murder,False,7,False
AL04711,0.0,murder,False,7,False
AL04800,13.0,murder,False,8C,False
AL04801,11.0,murder,False,6,False
AL04802,0.0,murder,False,7,False
AL04803,0.0,murder,False,7,False
AL04804,0.0,murder,False,7,False
AL04805,0.0,murder,False,7,False
AL04806,0.0,murder,False,7,False
AL04807,0.0,murder,False,7,False
AL04900,5.0,murder,False,8C,False
AL04901,7.0,murder,False,6,False
AL04902,2.0,murder,False,6,False
AL04903,1.0,murder,False,7,False
AL04904,0.0,murder,False,7,False
AL04905,0.0,murder,False,7,False
AL04906,0.0,murder,False,7,False
AL04907,0.0,murder,False,7,False
AL04908,0.0,murder,False,8D,False
AL05000,21.0,murder,False,8B,False
AL05001,7.0,murder,False,5,False
AL05002,14.0,murder,False,6,False
AL05003,7.0,murder,False,6,False
AL05004,4.0,murder,False,6,False
AL05005,0.0,murder,False,7,False
AL05006,0.0,murder,False,7,False
AL05008,0.0,murder,False,8E,False
AL05100,18.0,murder,False,8C,False
AL05101,11.0,murder,False,6,False
AL05102,0.0,murder,False,7,False
AL05103,0.0,murder,False,7,False
AL05104,0.0,murder,False,7,False
AL05200,20.0,murder,False,9B,False
AL05201,28.0,murder,False,3,False
AL05202,6.0,murder,False,5,False
AL05204,0.0,murder,False,7,False
AL05205,0.0,murder,False,7,False
AL05206,0.0,murder,False,7,False
AL05207,1.0,murder,False,7,False
AL05209,2.0,murder,False,6,False
AL05211,0.0,murder,False,7,False
AL05300,3.0,murder,False,8D,False
AL05301,4.0,murder,False,6,False
AL05302,2.0,murder,False,7,False
AL05400,12.0,murder,False,9C,False
AL05401,3.0,murder,False,7,False
AL05402,4.0,murder,False,7,False
AL05403,0.0,murder,False,7,False
AL05404,1.0,murder,False,7,False
AL05405,1.0,murder,False,7,False
AL05407,0.0,murder,False,7,False
AL05500,9.0,murder,False,8C,False
AL05501,20.0,murder,False,5,False
AL05502,3.0,murder,False,7,False
AL05503,0.0,murder,False,7,False
AL05600,5.0,murder,False,8C,False
AL05601,9.0,murder,False,6,False
AL05602,0.0,murder,False,7,False
AL05603,0.0,murder,False,7,False
AL05604,0.0,murder,False,7,False
AL05605,0.0,murder,False,7,False
AL05700,20.0,murder,False,9B,False
AL05701,29.0,murder,False,4,False
AL05702,1.0,murder,False,7,False
AL05800,20.0,murder,False,9B,False
AL05801,10.0,murder,False,5,False
AL05802,1.0,murder,False,7,False
AL05803,1.0,murder,False,7,False
AL05804,1.0,murder,False,6,False
AL05805,0.0,murder,False,6,False
AL05806,5.0,murder,False,5,False
AL05807,1.0,murder,False,7,False
AL05808,0.0,murder,False,6,False
AL05809,1.0,murder,False,7,False
AL05810,0.0,murder,False,7,False
AL05812,0.0,murder,False,6,False
AL05900,20.0,murder,False,9B,False
AL05901,4.0,murder,False,5,False
AL05902,3.0,murder,False,6,False
AL05903,3.0,murder,False,6,False
AL05904,12.0,murder,False,4,False
AL05905,0.0,murder,False,7,False
AL05906,8.0,murder,False,5,False
AL05907,1.0,murder,False,5,False
AL05908,0.0,murder,False,7,False
AL05909,0.0,murder,False,7,False
AL05910,0.0,murder,False,7,False
AL05911,0.0,murder,False,7,False
AL06000,10.0,murder,False,8D,False
AL06001,4.0,murder,False,7,False
AL06002,11.0,murder,False,6,False
AL06003,0.0,murder,False,7,False
AL06004,0.0,murder,False,7,False
AL06005,0.0,murder,False,7,False
AL06100,13.0,murder,False,8B,False
AL06101,13.0,murder,False,5,False
AL06102,19.0,murder,False,5,False
AL06103,4.0,murder,False,6,False
AL06104,5.0,murder,False,6,False
AL06105,0.0,murder,False,7,False
AL06106,0.0,murder,False,7,False
AL06112,0.0,murder,False,7,False
AL06200,19.0,murder,False,8C,False
AL06201,20.0,murder,False,5,False
AL06202,7.0,murder,False,6,False
AL06203,4.0,murder,False,7,False
AL06204,0.0,murder,False,7,False
AL06205,0.0,murder,False,7,False
AL06206,0.0,murder,False,7,False
