year_latest,agency_ori_9,agency_ori_7,ori_group,larger_city
2016,AL0460100,AL04601,6,False
2016,AL0460200,AL04602,7,False
2016,AL0460600,AL04606,7,False
2016,AL0460700,AL04607,7,False
2016,AL0470000,AL04700,9A,False
2016,AL0470100,AL04701,2,True
2016,AL0470200,AL04702,4,False
2016,AL0470300,AL04703,7,False
2016,AL0470400,AL04704,6,False
2016,AL0470500,AL04705,7,False
2016,AL0470600,AL04706,7,False
2016,AL0470700,AL04707,7,False
2016,AL0470800,AL04708,7,False
2016,AL0470900,AL04709,7,False
2016,AL0471100,AL04711,7,False
2016,AL0480000,AL04800,8C,False
2016,AL0480100,AL04801,6,False
2016,AL0480200,AL04802,7,False
2016,AL0480300,AL04803,7,False
2016,AL0480400,AL04804,7,False
2016,AL0480500,AL04805,7,False
2016,AL0480600,AL04806,7,False
2016,AL0480700,AL04807,7,False
2016,AL0490000,AL04900,8C,False
2016,AL0490100,AL04901,6,False
2016,AL0490200,AL04902,6,False
2016,AL0490300,AL04903,7,False
2016,AL0490400,AL04904,7,False
2016,AL0490500,AL04905,7,False
2016,AL0490600,AL04906,7,False
2016,AL0490700,AL04907,7,False
2016,AL0490800,,8D,False
2016,AL0500000,AL05000,8B,False
2016,AL0500100,AL05001,5,False
2016,AL0500200,AL05002,6,False
2016,AL0500300,AL05003,6,False
2016,AL0500400,AL05004,6,False
2016,AL0500500,AL05005,7,False
2016,AL0500600,AL05006,7,False
2016,AL0500800,AL05008,8E,False
2016,AL0510000,AL05100,8C,False
2016,AL0510100,AL05101,6,False
2016,AL0510200,AL05102,7,False
2016,AL0510300,AL05103,7,False
2016,AL0510400,AL05104,7,False
2016,AL0520000,AL05200,9B,False
2016,AL0520100,AL05201,3,False
2016,AL0520200,AL05202,5,False
2016,AL0520400,AL05204,7,False
2016,AL0520500,AL05205,7,False
2016,AL0520600,AL05206,7,False
2016,AL0520700,AL05207,7,False
2016,AL0520900,AL05209,6,False
2016,AL0521100,AL05211,7,False
2016,AL0530000,AL05300,8D,False
2016,AL0530100,AL05301,6,False
2016,AL0530200,AL05302,7,False
2016,AL0540000,AL05400,9C,False
2016,AL0540100,AL05401,7,False
2016,AL0540200,AL05402,7,False
2016,AL0540300,AL05403,7,False
2016,AL0540400,AL05404,7,False
2016,AL0540500,AL05405,7,False
2016,AL0540700,AL05407,7,False
2016,AL0550000,AL05500,8C,False
2016,AL0550100,AL05501,5,False
2016,AL0550200,AL05502,7,False
2016,AL0550300,AL05503,7,False
2016,AL0560000,AL05600,8C,False
2016,AL0560100,AL05601,6,False
2016,AL0560200,AL05602,7,False
