agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AL05400,17.0,assault_gun,False,9C,False
AL05401,15.0,assault_gun,False,7,False
AL05402,14.0,assault_gun,False,7,False
AL05403,11.0,assault_gun,False,7,False
AL05404,1.0,assault_gun,False,7,False
AL05405,1.0,assault_gun,False,7,False
AL05407,0.0,assault_gun,False,7,False
AL05500,17.0,assault_gun,False,8C,False
AL05501,33.0,assault_gun,False,5,False
AL05502,10.0,assault_gun,False,7,False
AL05503,2.0,assault_gun,False,7,False
AL05600,13.0,assault_gun,False,8C,False
AL05601,21.0,assault_gun,False,6,False
AL05602,2.0,assault_gun,False,7,False
AL05603,0.0,assault_gun,False,7,False
AL05604,0.0,assault_gun,False,7,False
AL05605,0.0,assault_gun,False,7,False
AL05700,26.0,assault_gun,False,9B,False
AL05701,31.0,assault_gun,False,4,False
AL05702,10.0,assault_gun,False,7,False
AL05800,29.0,assault_gun,False,9B,False
AL05801,25.0,assault_gun,False,5,False
AL05802,2.0,assault_gun,False,7,False
AL05803,2.0,assault_gun,False,7,False
AL05804,3.0,assault_gun,False,6,False
AL05805,6.0,assault_gun,False,6,False
AL05806,11.0,assault_gun,False,5,False
AL05807,4.0,assault_gun,False,7,False
AL05808,1.0,assault_gun,False,6,False
AL05809,0.0,assault_gun,False,7,False
AL05810,0.0,assault_gun,False,7,False
AL05812,3.0,assault_gun,False,6,False
AL05900,30.0,assault_gun,False,9B,False
AL05901,9.0,assault_gun,False,5,False
AL05902,9.0,assault_gun,False,6,False
AL05903,9.0,assault_gun,False,6,False
AL05904,28.0,assault_gun,False,4,False
AL05905,0.0,assault_gun,False,7,False
AL05906,23.0,assault_gun,False,5,False
AL05907,9.0,assault_gun,False,5,False
AL05908,1.0,assault_gun,False,7,False
AL05909,3.0,assault_gun,False,7,False
AL05910,0.0,assault_gun,False,7,False
AL05911,0.0,assault_gun,False,7,False
AL06000,15.0,assault_gun,False,8D,False
AL06001,16.0,assault_gun,False,7,False
AL06002,21.0,assault_gun,False,6,False
AL06003,0.0,assault_gun,False,7,False
AL06004,0.0,assault_gun,False,7,False
AL06005,1.0,assault_gun,False,7,False
AL06100,21.0,assault_gun,False,8B,False
AL06101,31.0,assault_gun,False,5,False
AL06102,27.0,assault_gun,False,5,False
AL06103,15.0,assault_gun,False,6,False
AL06104,16.0,assault_gun,False,6,False
AL06105,0.0,assault_gun,False,7,False
AL06106,0.0,assault_gun,False,7,False
AL06112,0.0,assault_gun,False,7,False
AL06200,24.0,assault_gun,False,8C,False
AL06201,31.0,assault_gun,False,5,False
AL06202,16.0,assault_gun,False,6,False
AL06203,9.0,assault_gun,False,7,False
AL06204,2.0,assault_gun,False,7,False
AL06205,0.0,assault_gun,False,7,False
AL06206,0.0,assault_gun,False,7,False
AL06207,1.0,assault_gun,False,7,False
AL06300,33.0,assault_gun,False,9B,False
AL06301,32.0,assault_gun,False,3,False
AL06302,28.0,assault_gun,False,4,False
AL06303,9.0,assault_gun,False,7,False
AL06305,0.0,assault_gun,False,7,False
AL06307,3.0,assault_gun,False,7,False
AL06308,0.0,assault_gun,False,7,False
AL06311,1.0,assault_gun,False,7,False
AL06314,0.0,assault_gun,False,7,False
AL06400,5.0,assault_gun,False,9B,False
AL06401,30.0,assault_gun,False,5,False
AL06402,6.0,assault_gun,False,7,False
AL06403,6.0,assault_gun,False,7,False
AL06404,10.0,assault_gun,False,7,False
AL06405,3.0,assault_gun,False,7,False
AL06406,0.0,assault_gun,False,7,False
AL06407,0.0,assault_gun,False,7,False
AL06408,0.0,assault_gun,False,7,False
AL06409,0.0,assault_gun,False,7,False
AL06411,0.0,assault_gun,False,7,False
AL06500,11.0,assault_gun,False,8C,False
AL06501,7.0,assault_gun,False,7,False
AL06502,6.0,assault_gun,False,7,False
AL06503,6.0,assault_gun,False,7,False
AL06600,19.0,assault_gun,False,8D,False
AL06601,3.0,assault_gun,False,7,False
AL06602,12.0,assault_gun,False,7,False
AL06700,7.0,assault_gun,False,8C,False
AL06701,0.0,assault_gun,False,7,False
AL06702,9.0,assault_gun,False,6,False
AL06703,0.0,assault_gun,False,7,False
AL06704,0.0,assault_gun,False,7,False
AL06705,0.0,assault_gun,False,7,False
